t0_sec,t0_nsec,pps_sec,pps_nsec,t_pps
1494288558,36310427,1494288794,17035427, 235.9807281494
1494288558,36310427,1494288795,17077427, 236.9807739258
1494288558,36310427,1494288796,17108427, 237.9808044434
1494288558,36310427,1494288797,17146427, 238.9808349609
1494288558,36310427,1494288798,17190427, 239.9808807373
1494288558,36310427,1494288799,17217427, 240.9809112549
1494288558,36310427,1494288800,17259427, 241.9809417725
1494288558,36310427,1494288801,17295427, 242.9809875488
1494288558,36310427,1494288802,17327427, 243.9810180664
1494288558,36310427,1494288803,17362427, 244.9810485840
1494288558,36310427,1494288804,17419427, 245.9811096191
1494288558,36310427,1494288805,17449427, 246.9811401367
1494288558,36310427,1494288806,17473427, 247.9811553955
1494288558,36310427,1494288807,17524427, 248.9812164307
1494288558,36310427,1494288808,17547427, 249.9812316895
1494288558,36310427,1494288809,17584427, 250.9812774658
1494288558,36310427,1494288810,17619427, 251.9813079834
1494288558,36310427,1494288811,17656427, 252.9813385010
1494288558,36310427,1494288812,17693427, 253.9813842773
1494288558,36310427,1494288813,17741427, 254.9814300537
1494288558,36310427,1494288814,17771427, 255.9814605713
1494288558,36310427,1494288815,17816427, 256.9815063477
1494288558,36310427,1494288816,17835427, 257.9815368652
1494288558,36310427,1494288817,17896427, 258.9815979004
1494288558,36310427,1494288818,17913427, 259.9815979004
1494288558,36310427,1494288819,17960427, 260.9816589355
1494288558,36310427,1494288820,17983427, 261.9816589355
1494288558,36310427,1494288821,18025427, 262.9817199707
1494288558,36310427,1494288822,18069427, 263.9817504883
1494288558,36310427,1494288823,18105427, 264.9817810059
1494288558,36310427,1494288824,18143427, 265.9818420410
1494288558,36310427,1494288825,18168427, 266.9818725586
1494288558,36310427,1494288826,18203427, 267.9819030762
1494288558,36310427,1494288827,18239427, 268.9819335938
1494288558,36310427,1494288828,18288427, 269.9819641113
1494288558,36310427,1494288829,18312427, 270.9819946289
1494288558,36310427,1494288830,18347427, 271.9820251465
1494288558,36310427,1494288831,18383427, 272.9820861816
1494288558,36310427,1494288832,18421427, 273.9821166992
1494288558,36310427,1494288833,18458427, 274.9821472168
1494288558,36310427,1494288834,18492427, 275.9821777344
1494288558,36310427,1494288835,18529427, 276.9822082520
1494288558,36310427,1494288836,18566427, 277.9822692871
1494288558,36310427,1494288837,18601427, 278.9822998047
1494288558,36310427,1494288838,18662427, 279.9823608398
1494288558,36310427,1494288839,18705427, 280.9823913574
1494288558,36310427,1494288840,18713427, 281.9823913574
1494288558,36310427,1494288841,18750427, 282.9824523926
1494288558,36310427,1494288842,18787427, 283.9824829102
1494288558,36310427,1494288843,18826427, 284.9825134277
1494288558,36310427,1494288844,18858427, 285.9825439453
1494288558,36310427,1494288845,18913427, 286.9826049805
1494288558,36310427,1494288846,18936427, 287.9826354980
1494288558,36310427,1494288847,18969427, 288.9826660156
1494288558,36310427,1494288848,19009427, 289.9826965332
1494288558,36310427,1494288849,19058427, 290.9827575684
1494288558,36310427,1494288850,19096427, 291.9827880859
1494288558,36310427,1494288851,19134427, 292.9828186035
1494288558,36310427,1494288852,19187427, 293.9828796387
1494288558,36310427,1494288853,19187427, 294.9828796387
1494288558,36310427,1494288854,19224427, 295.9829101562
1494288558,36310427,1494288855,19278427, 296.9829711914
1494288558,36310427,1494288856,19296427, 297.9829711914
1494288558,36310427,1494288857,19340427, 298.9830322266
1494288558,36310427,1494288858,19387427, 299.9830627441
1494288558,36310427,1494288859,19405427, 300.9830932617
1494288558,36310427,1494288860,19447427, 301.9831237793
1494288558,36310427,1494288861,19497427, 302.9831848145
1494288558,36310427,1494288862,19534427, 303.9832153320
1494288558,36310427,1494288863,19548427, 304.9832458496
1494288558,36310427,1494288864,19592427, 305.9832763672
1494288558,36310427,1494288865,19624427, 306.9833068848
1494288558,36310427,1494288866,19661427, 307.9833374023
1494288558,36310427,1494288867,19714427, 308.9833984375
1494288558,36310427,1494288868,19741427, 309.9834289551
1494288558,36310427,1494288869,19772427, 310.9834594727
1494288558,36310427,1494288870,19825427, 311.9835205078
1494288558,36310427,1494288871,19843427, 312.9835205078
1494288558,36310427,1494288872,19879427, 313.9835815430
1494288558,36310427,1494288873,19935427, 314.9836120605
1494288558,36310427,1494288874,19952427, 315.9836425781
1494288558,36310427,1494288875,19995427, 316.9836730957
1494288558,36310427,1494288876,20045427, 317.9837341309
1494288558,36310427,1494288877,20059427, 318.9837341309
1494288558,36310427,1494288878,20104427, 319.9837951660
1494288558,36310427,1494288879,20142427, 320.9838256836
1494288558,36310427,1494288880,20172427, 321.9838562012
1494288558,36310427,1494288881,20223427, 322.9839172363
1494288558,36310427,1494288882,20250427, 323.9839477539
1494288558,36310427,1494288883,20280427, 324.9839782715
1494288558,36310427,1494288884,20324427, 325.9840087891
1494288558,36310427,1494288885,20355427, 326.9840393066
1494288558,36310427,1494288886,20394427, 327.9840698242
1494288558,36310427,1494288887,20440427, 328.9841308594
1494288558,36310427,1494288888,20471427, 329.9841613770
1494288558,36310427,1494288889,20500427, 330.9841918945
1494288558,36310427,1494288890,20537427, 331.9842224121
1494288558,36310427,1494288891,20575427, 332.9842529297
1494288558,36310427,1494288892,20609427, 333.9843139648
1494288558,36310427,1494288893,20646427, 334.9843444824
1494288558,36310427,1494288894,20683427, 335.9843750000
1494288558,36310427,1494288895,20720427, 336.9844055176
1494288558,36310427,1494288896,20757427, 337.9844360352
1494288558,36310427,1494288897,20793427, 338.9844970703
1494288558,36310427,1494288898,20829427, 339.9845275879
1494288558,36310427,1494288899,20872427, 340.9845581055
1494288558,36310427,1494288900,20907427, 341.9845886230
1494288558,36310427,1494288901,20940427, 342.9846191406
1494288558,36310427,1494288902,20975427, 343.9846801758
1494288558,36310427,1494288903,21012427, 344.9847106934
1494288558,36310427,1494288904,21047427, 345.9847412109
1494288558,36310427,1494288905,21082427, 346.9847717285
1494288558,36310427,1494288906,21121427, 347.9848022461
1494288558,36310427,1494288907,21157427, 348.9848327637
1494288558,36310427,1494288908,21191427, 349.9848937988
1494288558,36310427,1494288909,21230427, 350.9849243164
1494288558,36310427,1494288910,21268427, 351.9849548340
1494288558,36310427,1494288911,21304427, 352.9849853516
1494288558,36310427,1494288912,21341427, 353.9850158691
1494288558,36310427,1494288913,21376427, 354.9850769043
1494288558,36310427,1494288914,21413427, 355.9851074219
1494288558,36310427,1494288915,21450427, 356.9851379395
1494288558,36310427,1494288916,21486427, 357.9851684570
1494288558,36310427,1494288917,21524427, 358.9851989746
1494288558,36310427,1494288918,21558427, 359.9852600098
1494288558,36310427,1494288919,21595427, 360.9852905273
1494288558,36310427,1494288920,21630427, 361.9853210449
1494288558,36310427,1494288921,21674427, 362.9853515625
1494288558,36310427,1494288922,21705427, 363.9853820801
1494288558,36310427,1494288923,21747427, 364.9854431152
1494288558,36310427,1494288924,21776427, 365.9854736328
1494288558,36310427,1494288925,21821427, 366.9855041504
1494288558,36310427,1494288926,21856427, 367.9855346680
1494288558,36310427,1494288927,21886427, 368.9855651855
1494288558,36310427,1494288928,21943427, 369.9856262207
1494288558,36310427,1494288929,21966427, 370.9856567383
1494288558,36310427,1494288930,21999427, 371.9856872559
1494288558,36310427,1494288931,22039427, 372.9857177734
1494288558,36310427,1494288932,22075427, 373.9857788086
1494288558,36310427,1494288933,22112427, 374.9858093262
